
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787708330804 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 308, BL 26 VG 599 ;179.520,35;178.063,91;0.00;Apartamento, 50.42 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708330804
 8787708299222 ;SP ;AMERICANA ;CARIOBINHA ;RUA SAO SIMAO, N. 265, Apto 15B, BL B VG 76 ;226.273,90;210.000,00;0.00;Apartamento, 65.37 de área total, 44.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708299222
 8787708898258 ;SP ;AMERICANA ;FAZ SAO DOMINGOS ;AVENIDA SAO JERONIMO, N. 2750, Apto 307, BL 16 PAV 02 ;179.285,30;163.000,00;0.00;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708898258
 1444416645820 ;SP ;AMERICANA ;JARDIM SAO DOMINGOS ;RUA TREZE DE MAIO, N. 880, Apto 24, BL B VAGA 24B ;276.792,70;250.000,00;0.00;Apartamento, 88.98 de área total, 57.89 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416645820
 8787707809200 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 408, PAV 03 BL 26 GLEBA 3AB VG 619 ;179.285,30;148.154,03;0.00;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707809200
 8444426480598 ;SP ;AMERICANA ;LOTEAMENTO INDUSTRIAL MACHADINHO ;RUA ANGELO ORTOLAN, N. 150, Apto 301, BL 40 VG 430 ;215.051,70;175.000,00;0.00;Apartamento, 77.74 de área total, 45.95 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426480598
 8444411035909 ;SP ;AMPARO ;JARDIM SILMARA ;RUA EUGENIO DORIGAN, N. 104, LT 28 QD L ;191.003,09;324.000,00;41.05;Casa, 0.00 de área total, 81.68 de área privativa, 180.00 de área do terreno,  2 qto(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411035909
 8444421299941 ;SP ;ANHUMAS ;RESIDENCIAL JOAO MENOSSI ;RUA GERCINO MALACRIDA, N. 831, LT 23 QD D ;88.990,38;152.000,00;41.46;Casa, 52.72 de área total, 52.72 de área privativa, 220.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421299941
 8787712024704 ;SP ;ARACATUBA ;RESIDENCIAL LUANA ; RUA SARGENTO PM ÉVERTON COSTA ZONZINI, N. 89, ANTIGA RUA OITO ;65.749,83;124.000,00;46.98;Casa, 44.82 de área total, 44.82 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712024704
 8787711534628 ;SP ;ARACATUBA ;CHACARAS PATRIMONIO SANTANA ;ESTRADA VICINAL FAUSE CHADE, N. 399, Apto 201, BL 12 VG 271 ;83.399,20;154.000,00;45.85;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711534628
