
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444428390650 ;PE ;ARCOVERDE ;SAO CRISTOVAO ;RUA DO SOL, N. 100, Apto 103, BL A 4 ;54.416,64;108.000,00;49.62;Apartamento, 0.00 de área total, 48.94 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428390650
 8444420806157 ;PE ;ARCOVERDE ;SAO CRISTOVAO ;RUA JUVINIANO MARINHO ESPINDOLA, N. 170 ;59.171,78;113.968,94;48.09;Casa, 0.00 de área total, 50.78 de área privativa, 75.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420806157
 8444419921983 ;PE ;ARCOVERDE ;SAO CRISTOVAO ; TRAVESSA JUSTINO BEZERRA DA SILVA, N. 1009, LT 05 QD ÚNICA ;68.787,97;120.000,00;42.68;Casa, 60.12 de área total, 60.12 de área privativa, 96.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419921983
 8444431175650 ;PE ;ARCOVERDE ;SAO CRISTOVAO ;RUA DO SOL, N. 100, Apto 101, BL E2 PAV TERREO ;49.208,01;85.000,00;42.11;Apartamento, 66.27 de área total, 48.94 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431175650
 8444418660329 ;PE ;ARCOVERDE ;SAO CRISTOVAO ;AVENIDA RIO DE JANEIRO, N. 1070, TERRENO 01A-37 ;48.215,58;83.000,00;41.91;Casa, 45.00 de área total, 45.00 de área privativa, 90.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418660329
 8444429969083 ;PE ;ARCOVERDE ;CIDADE JARDIM ; RUA DAS DÁLIAS, N. S/N, LT20 QD I ;82.240,58;140.471,02;41.46;Casa, 73.00 de área total, 73.00 de área privativa, 126.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429969083
 1444421658269 ;PE ;ARCOVERDE ;CARDEAL ; RUA ANA AGUIAR, N. 310, AREA 03 ;176.844,29;277.483,64;36.27;Casa, 181.46 de área total, 181.46 de área privativa, 195.50 de área do terreno,  4 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444421658269
 8444422531600 ;PE ;ARCOVERDE ;SANTOS DUMONT ;RUA SANTA RITA DE CASSIA, N. SN, CS16 LT06 QD04 ;133.000,00;133.000,00;0.00;Casa, 0.00 de área total, 64.11 de área privativa, 135.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422531600
 8444409780678 ;PE ;BELO JARDIM ;BELO JARDIM ;RUA MANOEL GOMES DO NASCIMENTO, N. 36 ;12.610,48;91.629,68;86.24;Casa, 47.13 de área total, 47.13 de área privativa, 60.72 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409780678
 8444416538380 ;PE ;BELO JARDIM ;JOSE MACIEL ;RUA SEVERINO FIDELIS, N. SN, . ;40.064,27;177.000,00;77.37;Casa, 0.00 de área total, 103.60 de área privativa, 230.17 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416538380
 8444420097261 ;PE ;BELO JARDIM ;LOT CAMPO BELO ;RUA JOAO ANTONIO DA SILVA ANTIGA RUA PROJ 04, N. 28, LT07 QDD ;21.419,94;86.200,00;75.16;Casa, 0.00 de área total, 58.30 de área privativa, 147.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), sacada, cozinha, Terraco.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420097261
 8787708700857 ;PE ;BELO JARDIM ;EUNO ANDRADE DA SILVA ;RUA GERALDO BEZERRA DA SILVA, N. 43, LT16 QD33 ;23.606,67;95.000,00;75.16;Casa, 0.00 de área total, 46.30 de área privativa, 148.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708700857
 8787701999148 ;PE ;BELO JARDIM ;EUNO ANDRADE DA SILVA ;RUA FRANCISCA MARIA DOS PASSOS, N. 8, LOT VIANA  MOURA INHUMAS  LT 02  QD 10 ;27.780,26;102.000,00;72.77;Casa, 0.00 de área total, 46.30 de área privativa, 148.20 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701999148
