
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787713832499 ;PA ;ANANINDEUA ;QUARENTA HORAS (COQUEIRO) ;AVENIDA GOVERNADOR HELIO DA MOTA GUEIROS, N. 436, Apto 96A, BL 14 ;267.000,00;267.000,00;0.00;Apartamento, 129.80 de área total, 65.44 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713832499
 8787713939773 ;PA ;ANANINDEUA ;QUARENTA HORAS (COQUEIRO) ;AVENIDA GOVERNADOR HELIO DA MOTA GUEIROS, N. 436, Apto 191A, BL 30 ;255.000,00;255.000,00;0.00;Apartamento, 129.80 de área total, 65.44 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713939773
 8787714079328 ;PA ;ANANINDEUA ;QUARENTA HORAS (COQUEIRO) ;AVENIDA GOVERNADOR HELIO DA MOTA GUEIROS, N. 436, Apto 87B, BL 13 PAV 01 ;223.000,00;223.000,00;0.00;Apartamento, 110.95 de área total, 52.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714079328
 8787714691252 ;PA ;ANANINDEUA ;QUARENTA HORAS (COQUEIRO) ;AVENIDA GOVERNADOR HELIO DA MOTA GUEIROS, N. 436, Apto 11A, BL 2 ;256.000,00;256.000,00;0.00;Apartamento, 129.80 de área total, 65.44 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714691252
 8787716285219 ;PA ;ANANINDEUA ;CENTRO ;RUA CLAUDIO SANDERS, N. 1111, Apto 304, TORRE CUPUAÇU VG 275 ;196.000,00;196.000,00;0.00;Apartamento, 84.52 de área total, 42.69 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716285219
 8444433091119 ;PA ;ANANINDEUA ;MAGUARI ;ESTRADA QUINTA DA CARMITA, N. SN, Apto 104, BL 06 ;139.333,22;138.000,00;0.00;Apartamento, 102.69 de área total, 42.65 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444433091119
 8787720632653 ;PA ;ANANINDEUA ;AGUAS LINDAS ;NONA TRAVESSA, N. 147, Apto 304, BL 03 QD B VG G01 ;162.438,28;150.000,00;0.00;Apartamento, 97.25 de área total, 47.73 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787720632653
 8555531298402 ;PA ;ANANINDEUA ;PAVIMENTO TERREO ; ESTRADA DO AURÁ, N. 6, TIPO GARDEN ;185.030,56;170.000,00;0.00;Casa, 101.28 de área total, 55.21 de área privativa, 101.28 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555531298402
 1444409153039 ;PA ;ANANINDEUA ;GUANABARA ;TRAVESSA RICARDO BORGES, N. 42, Apto 201, BL B2 ;200.626,23;176.000,00;0.00;Apartamento, 0.00 de área total, 55.05 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409153039
 8555532260000 ;PA ;ANANINDEUA ;AGUAS LINDAS ;ESTRADA SANTANA DO AURA, N. SN, QD 53 ;186.903,98;160.000,00;0.00;Casa, 101.28 de área total, 55.21 de área privativa, 55.21 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555532260000
 8555523965918 ;PA ;ANANINDEUA ;MAGUARI ; ESTRADA QUINTA DA CARMITA, N. SN, Apto 304, BL 07 ;191.100,62;161.000,00;0.00;Apartamento, 102.69 de área total, 42.65 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555523965918
 8787709132623 ;PA ;ANANINDEUA ;COQUEIRO ;RODOVIA MARIO COVAS, N. SN, Apto 407, BL 05 TR IPE ;189.070,10;151.000,00;0.00;Apartamento, 0.00 de área total, 41.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709132623
 1444423329491 ;PA ;ANANINDEUA ;CENTRO ;RUA CLAUDIO SANDERS, N. SN, Apto 101, PV TIPO B BL 67 ;220.000,00;174.000,00;0.00;Apartamento, 112.85 de área total, 55.07 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444423329491
 8555532747383 ;PA ;ANANINDEUA ;GUANABARA ;RUA DA PEDREIRINHA, N. SN, Apto 101, BL 04 ;201.329,55;155.000,00;0.00;Apartamento, 81.71 de área total, 41.48 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555532747383
 8444410993094 ;PA ;AUGUSTO CORREA ;sao benedito ;ALAMEDA BELA VISTA, N. 14, CS 09 LT 09 ;22.224,21;102.000,00;78.22;Casa, 0.00 de área total, 57.00 de área privativa, 122.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410993094
 8444407100106 ;PA ;AUGUSTO CORREA ;BAIRRO SAO JOAO ;ALAMEDA ESTRELA, N. SN, LT12 ;27.208,31;111.000,00;75.49;Casa, 0.00 de área total, 54.00 de área privativa, 187.43 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407100106
 8444404535853 ;PA ;AUGUSTO CORREA ;lirios do vale ;AVENIDA DAS MARGARIDAS, N. SN, LT 01 ;17.180,06;62.000,00;72.30;Casa, 0.00 de área total, 53.02 de área privativa, 200.43 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404535853
