
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444429125845 ;DF ;BRASILIA ;SAMAMBAIA NORTE (SAMAMBAIA) ; QUADRA QR 833, N. SN, LT 18, CONJ 01 ;264.667,53;264.000,00;0.00;Casa, 114.00 de área total, 114.00 de área privativa, 117.23 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429125845
 10276270 ;DF ;BRASILIA ;SETOR HABITACIONAL TORORO (JARDIM BOTANI ;TRAVESSA SABIAS, N. S/N, LT 09, PQ DOS PASSAROS ;425.000,00;370.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 935.99 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10276270
 1444406593658 ;DF ;BRASILIA ;ASA SUL ;QUADRA 610 DO SGA/SUL, N. 313, BL 02 QD 610 CONJUNTO F ;576.309,35;470.000,00;0.00;Sala, 0.00 de área total, 47.33 de área privativa, 0.00 de área do terreno, WC, 1 sala(s), 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406593658
 1444420706952 ;DF ;BRASILIA ;SAMAMBAIA ; QUADRA QN 225, N. SN, LT 01 ;351.688,19;253.000,00;0.00;Casa, 150.00 de área total, 150.00 de área privativa, 168.66 de área do terreno,  3 qto(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420706952
 10275560 ;DF ;BRASILIA ;ST HAB TORORÓ-JD BOT ;ALAMEDA DOS BOUGANVILLES, N. 00, LT 34, PARQUE DOS JARDINS ;530.000,00;360.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 1000.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10275560
 1444402374072 ;DF ;CEILANDIA ;CEILANDIA SUL ;QNP 36, N. SN, CJ K LT 01 ;342.196,65;536.935,47;36.27;Casa, 356.74 de área total, 31.12 de área privativa, 135.00 de área do terreno, WC.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402374072
 1444417048206 ;DF ;CEILANDIA ;CEILANDIA SUL ;QNN 24, N. SN, CJ H LT 43 ;401.508,01;630.000,00;36.27;Casa, 165.00 de área total, 24.01 de área privativa, 144.00 de área do terreno, a.serv, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417048206
 1444417172365 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNP 11, N. SN, CJ D LT 27 ;172.074,86;270.000,00;36.27;Casa, 0.00 de área total, 33.05 de área privativa, 135.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417172365
 1444419213255 ;DF ;CEILANDIA ;CEILANDIA SUL ;QNN 10 CONJ C, N. SN, LT 21 ;395.772,18;621.000,00;36.27;Casa, 267.54 de área total, 168.97 de área privativa, 144.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419213255
 8444408566010 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNQ 6, N. SN, BL 05  LT 01 ;182.909,20;287.000,00;36.27;Casa, 135.52 de área total, 135.52 de área privativa, 142.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408566010
 1444415759750 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNO 12 - AREAS ESPECIAIS C-D-J-K-L-M-O-P, N. SN, Apto 201, CJ V TORRE I ;316.000,00;316.000,00;0.00;Apartamento, 124.41 de área total, 60.24 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415759750
 1555522927380 ;DF ;CEILANDIA ;CEILANDIA ;QUADRA QNO 12, N. SN, Apto 1305, BL B AREA ESPECIAL I ;185.000,00;185.000,00;0.00;Apartamento, 90.63 de área total, 48.76 de área privativa, 0.00 de área do terreno,  2 qto(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555522927380
 8444407970623 ;DF ;CEILANDIA ;CEILANDIA SUL ;QNP 28, N. SN, LT 18 ;250.000,00;250.000,00;0.00;Casa, 0.00 de área total, 45.77 de área privativa, 135.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407970623
 8444416630465 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNO 17, N. 13, LT 13, CONJUNTO C ;222.900,00;222.900,00;0.00;Terreno, 73.78 de área total, 0.00 de área privativa, 126.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416630465
 1444415317749 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNP-05 CONJUNTO F, N. SN, LT 34 ;276.343,56;276.000,00;0.00;Casa, 125.00 de área total, 26.32 de área privativa, 135.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415317749
 1444406235026 ;DF ;GAMA ;SETOR CENTRAL ;QUADRA 56 LT 12, N. SN, Apto 509, BL A ;139.102,55;221.000,00;37.06;Apartamento, 58.13 de área total, 44.44 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406235026
 1444419384459 ;DF ;GAMA ;SETOR OESTE ;QUADRA 14, N. 0, LOTE 46 ;214.137,60;336.000,00;36.27;Casa, 0.00 de área total, 116.37 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419384459
 1444406385850 ;DF ;LAGO SUL ;SETOR HABITACIONAL JARDIM BOTANICO ;RUA CAMINHO DO RIO JORDAO, N. SN,  LT 68 ;603.567,00;339.226,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 702.60 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406385850
 1444418003001 ;DF ;LAGO SUL ;SETOR HABITACIONAL JARDIM BOTANICO ;QUADRA 24, N. SN, LT 01 ;1.388.427,38;415.000,00;0.00;Casa, 210.00 de área total, 210.00 de área privativa, 787.90 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418003001
 1444408001952 ;DF ;NUCLEO BANDEIRANTE ;NUCLEO BANDEIRANTE ;AVENIDA CENTRAL BLOCO 1645, N. 1645, Apto 302, ;142.249,67;226.000,00;37.06;Apartamento, 71.87 de área total, 57.47 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408001952
 1555513463695 ;DF ;NUCLEO BANDEIRANTE ;SETOR DE MANSOES PARK WAY ;SMPW QUADRA 22, N. 03, CONJUNTO 02 QUADRA 22 ;980.000,00;980.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 2500.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555513463695
 8787719021794 ;DF ;NUCLEO BANDEIRANTE ;NUCLEO BANDEIRANTE ;TERCEIRA AVENIDA, N. 1000, Apto 105, BL 06 AV CANAL PROJETADA ;193.386,15;135.000,00;0.00;Apartamento, 0.00 de área total, 40.54 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787719021794
 1444418945465 ;DF ;RECANTO DAS EMAS ;RECANTO DAS EMAS ;LT 29, N. SN, QD 804 ;203.382,92;345.000,00;41.05;Casa, 0.00 de área total, 112.50 de área privativa, 112.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418945465
 8444429884371 ;DF ;RECANTO DAS EMAS ;RECANTO DAS EMAS ;QUADRA 511, N. SN, LT 10 CONJUNTO 18 ;262.870,91;204.000,00;0.00;Casa, 110.00 de área total, 110.00 de área privativa, 112.50 de área do terreno,  2 qto(s), a.serv, WC, WC Emp, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429884371
 8444410130622 ;DF ;RIACHO FUNDO ;RIACHO FUNDO I ;CLN 7, N. SN, Apto 103, BL H LT 04 ;80.065,28;132.496,35;39.58;Apartamento, 30.29 de área total, 26.25 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410130622
 8444422218767 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QN 312, N. SN, Apto 706, LT 07, CJ 06 ;128.256,32;224.000,00;42.75;Apartamento, 0.00 de área total, 29.45 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422218767
 1444414960311 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QR 429, N. SN, LT 07 CONJ 21 ;215.173,24;365.000,00;41.05;Casa, 0.00 de área total, 168.00 de área privativa, 112.50 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444414960311
 8787708486391 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QN 509, N. SN, Apto 17, CONJ 3 LT 2 A 12 ;102.518,87;173.000,00;40.75;Apartamento, 41.19 de área total, 34.55 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708486391
 8444404043888 ;DF ;SAMAMBAIA ;SAMAMBAIA ;QD QS 407, N. ., Apto 101, LT 06 ;137.201,86;227.000,00;39.56;Apartamento, 0.00 de área total, 47.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404043888
 1444418802907 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QR 433, N. SN, LT 13 CJ 02 ;175.580,09;290.000,00;39.46;Casa, 0.00 de área total, 62.63 de área privativa, 112.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418802907
 8555525554788 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QN 303, N. SN, Apto 102, LT01 CJ11 ;144.774,40;236.441,84;38.77;Apartamento, 93.07 de área total, 50.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555525554788
