
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444405972807 ;PB ;BAYEUX ;IMACULADA ;AVENIDA FRANCISCO MARQUES DA FONSECA, N. 265, CS 01 ;52.681,52;91.000,00;42.11;Casa, 80.73 de área total, 46.57 de área privativa, 81.41 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405972807
 8444407770187 ;PB ;BAYEUX ;IMACULADA ;AVENIDA FRANCISCO MARQUES DA FONSECA, N. 73, CS 01 ;54.418,27;94.000,00;42.11;Casa, 0.00 de área total, 46.57 de área privativa, 186.30 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407770187
 8444407978357 ;PB ;BAYEUX ;IMACULADA ;AVENIDA FRANCISCO MARQUES DA FONSECA, N. 63, CS 03 ;52.102,60;90.000,00;42.11;Casa, 59.19 de área total, 46.57 de área privativa, 186.30 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407978357
 8444414789548 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MARECHAL CASTELO BRANCO, N. 308,  CS N 02 ;50.895,06;87.914,14;42.11;Casa, 77.53 de área total, 46.57 de área privativa, 83.46 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414789548
 8444401635067 ;PB ;BAYEUX ;SAO BENTO ;TRAVESSA BALBINO DE MENDONCA, N. 439, ;72.988,41;126.000,00;42.08;Casa, 65.83 de área total, 65.83 de área privativa, 147.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401635067
 8444407349694 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA JOSE PAULINO FILHO, N. 133, CS 101 ;74.146,96;128.000,00;42.08;Casa, 68.67 de área total, 68.67 de área privativa, 95.80 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407349694
 8444407559834 ;PB ;BAYEUX ;IMACULADA ;AVENIDA FRANCISCO MARQUES DA FONSECA, N. 41, ;73.567,68;127.000,00;42.08;Casa, 0.00 de área total, 46.57 de área privativa, 81.41 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407559834
 8444407560620 ;PB ;BAYEUX ;Ver Genival A Santos ;RUA PROJETADA 3, N. 41, CS 02 ;73.567,68;127.000,00;42.08;Casa, 0.00 de área total, 46.57 de área privativa, 93.87 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407560620
 8444407561065 ;PB ;BAYEUX ;COMERCIAL NORTE ; RUA PROJETADA 03, N. 41, CS 04 ;73.567,68;127.000,00;42.08;Casa, 46.57 de área total, 46.57 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407561065
 8444413937470 ;PB ;BAYEUX ;COMERCIAL NORTE ; RUA MARIA DO CARMO DOS SANTOS, N. 137, CS 02 ;78.201,87;135.000,00;42.08;Casa, 0.00 de área total, 71.92 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413937470
