
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8555513041721 ;PI ;ALAGOINHA DO PIAUI ;CENTRO ; RUA VICENTE GOMES, N. 45, ;39.739,63;65.585,57;39.41;Casa, 60.00 de área total, 60.00 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s).;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555513041721
 8444412619254 ;PI ;ALAGOINHA DO PIAUI ;ZONA SUDOESTE ;RUA VALENTIM ROCHA, N. 202, LT 17 ;93.000,00;93.000,00;0.00;Casa, 0.00 de área total, 70.00 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412619254
 8444402301626 ;PI ;ALTOS ;SAO LUIS ;RUA SANTO INACIO, N. 53, 0 ;20.629,36;108.206,04;80.94;Casa, 0.00 de área total, 48.00 de área privativa, 190.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402301626
 8444425197728 ;PI ;ALTOS ;SANTA INÊS ;RUA PROJETADA, N. 23, QK1 ;24.561,20;127.000,00;80.67;Casa, 0.00 de área total, 58.42 de área privativa, 205.62 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425197728
 8444404354204 ;PI ;ALTOS ;CENTRO ;RUA LUANDA, N. 186, 0 ;26.502,49;126.000,00;78.97;Casa, 0.00 de área total, 56.00 de área privativa, 202.50 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404354204
 8555532470780 ;PI ;ALTOS ;LOT JARDIM CIDADE RE ;RUA III, N. 1375, QD L, LOTE 04 ;22.821,94;104.743,35;78.22;Casa, 0.00 de área total, 54.00 de área privativa, 250.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555532470780
 8444425697410 ;PI ;ALTOS ;SANTA INÊS ;RUA PROJETADA I, N. 44, LOTE I ;28.069,95;127.000,00;77.90;Casa, 0.00 de área total, 58.00 de área privativa, 200.90 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425697410
 8444424070309 ;PI ;ALTOS ;SANTA INÊS ;RUA BERTOLINIA, N. 1410, QD  I ;26.543,86;110.217,80;75.92;Casa, 0.00 de área total, 58.94 de área privativa, 227.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424070309
 8444417308079 ;PI ;ALTOS ;SANTA LUZ ;RUA II, N. 286, LT 05  QD E ;26.718,07;109.000,00;75.49;Casa, 0.00 de área total, 45.99 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417308079
 8444424675030 ;PI ;ALTOS ;SANTA INÊS ;RUA BOM SUCESSO, N. 2598, QD K1 ;27.453,43;112.000,00;75.49;Casa, 0.00 de área total, 58.94 de área privativa, 227.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424675030
