
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10207663 ;RO ;PORTO VELHO ;CASTANHEIRA ;RUA PIRACICABA, N. 5224, ST 29, QD 6, LT 40 ;397.000,00;397.000,00;0.00;Casa, 0.00 de área total, 194.64 de área privativa, 250.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10207663
 10229376 ;RO ;PORTO VELHO ;COSTA E SILVA ;RUA RIO CLARO, N. 2682, LT 07 ;240.000,00;240.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 343.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10229376
 1444403663191 ;RO ;PORTO VELHO ;FLODOALDO PONTES PINTO ;RUA CALCARIO, N. 4394, LT 70 QD 02 ;380.000,00;380.000,00;0.00;Casa, 165.14 de área total, 41.76 de área privativa, 250.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s).;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444403663191
 1444415065588 ;RO ;PORTO VELHO ;PLANALTO ;RUA ERNANDES INDIO, N. 6531, CASA 51 ;415.000,00;415.000,00;0.00;Casa, 102.53 de área total, 67.53 de área privativa, 198.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415065588
 1444415993043 ;RO ;PORTO VELHO ;FLODOALDO PONTES PINTO ;RUA RUTILIO, N. 4822, QD 22 LT 141 ;272.000,00;272.000,00;0.00;Casa, 96.32 de área total, 41.76 de área privativa, 250.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415993043
 1555509529091 ;RO ;PORTO VELHO ;LIBERDADE ;RUA ELIAS GORAYEB, N. 3392, LT 0392 QD 030 ST 09 ;178.000,00;178.000,00;0.00;Casa, 57.53 de área total, 57.53 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555509529091
 1787701102000 ;RO ;PORTO VELHO ;PLANALTO ;RUA ERNANDES INDIO, N. 7321, CASA 266 QD11 ;232.000,00;232.000,00;0.00;Casa, 54.69 de área total, 51.02 de área privativa, 144.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701102000
 1555539033639 ;RO ;PORTO VELHO ;LIBERDADE ;RUA JOSE RIBAMAR DE MIRANDA, N. 2915, LOTE 0324 QD 22 SETOR 09 ;469.258,10;235.000,00;0.00;Casa, 72.40 de área total, 72.40 de área privativa, 360.00 de área do terreno, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555539033639
 1444420896450 ;RO ;PORTO VELHO ;AEROCLUBE ;RUA FALCÃO, N. 65, LT 285 QD 548 ;1.071.208,16;269.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 416.98 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420896450
 1444419159668 ;RO ;ROLIM DE MOURA ;PLANALTO ; RUA JAMARI, N. 4200, LT 030-A, QD 046, SETOR 001 ;201.008,93;332.000,00;39.46;Casa, 143.34 de área total, 143.34 de área privativa, 224.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419159668
 10279404 ;RO ;SAO FRANCISCO DO GUAPORE ;CENTRO ;R RONALDO ARAGÃO, N. 3000, ST03,QD45,LT001.01 ;467.000,00;408.000,00;0.00;Loja, 0.00 de área total, 240.00 de área privativa, 240.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10279404
 8555520352117 ;RO ;URUPA ;CENTRO ; RUA EDUARDO TRESSMAN, N. 2806, ;101.287,12;164.000,00;38.24;Casa, 70.00 de área total, 70.00 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555520352117
