source,title,price_text,price,location,link,image_url,extracted_at
E-Confianca,,,,,https://diario.e-leiloes.com.br/?p=66484,https://diario.e-leiloes.com.br/wp-content/uploads/2024/05/eleiloes-marcou-presenca-agrishow-maior-feira-agronegocio-america-latina.jpg,2026-01-04T18:42:34.981419
E-Confianca,,,,,https://diario.e-leiloes.com.br/?p=66436,https://diario.e-leiloes.com.br/wp-content/uploads/2024/04/leilao-justica-trabalho-campinas-sp-imoveis-automoveis-desconto.jpg,2026-01-04T18:42:34.981931
E-Confianca,,,,,https://diario.e-leiloes.com.br/?p=66432,https://diario.e-leiloes.com.br/wp-content/uploads/2024/04/leilao-justica-trabalho-sorocaba-sp-imoveis-automoveis-desconto.jpg,2026-01-04T18:42:34.982439
Hastapublica,,,,,https://www.hastapublica.com.br/leilao/17473/ver-leilao/?utm_source=site&utm_medium=banner&utm_campaign=banner_17473,https://www.hastapublica.com.br/util/content/banner_17473.jpg,2026-01-04T18:42:37.805843
Hastapublica,,,,,https://www.hastapublica.com.br/leilao/17458/ver-leilao/?utm_source=site&utm_medium=banner&utm_campaign=banner_17458,https://www.hastapublica.com.br/util/content/banner_17458.jpg,2026-01-04T18:42:37.807298
Hastapublica,,,,,https://www.hastapublica.com.br/leilao/17412/ver-leilao/?utm_source=site&utm_medium=banner&utm_campaign=banner_17412,https://www.hastapublica.com.br/util/content/banner_17412.jpg,2026-01-04T18:42:37.807684
Hastapublica,,,,,https://www.hastapublica.com.br#,https://www.hastapublica.com.br/util/content/banner_sicoob26.jpg,2026-01-04T18:42:37.807978
Hastapublica,,,,,https://www.hastapublica.com.br/leilao/17573/ver-leilao/?utm_source=site&utm_medium=banner&utm_campaign=banner_17573,https://www.hastapublica.com.br/util/content/banner_17573.jpg,2026-01-04T18:42:37.808201
Hastapublica,,,,,https://www.hastapublica.com.br/leilao/17442/ver-leilao/?utm_source=site&utm_medium=banner&utm_campaign=banner_17442,https://www.hastapublica.com.br/util/content/banner_17442.jpg,2026-01-04T18:42:37.808498
Hastapublica,,,,,https://www.hastapublica.com.br/leilao/17584/ver-leilao/?utm_source=site&utm_medium=banner&utm_campaign=banner_17584,https://www.hastapublica.com.br/util/content/banner_17584.jpg,2026-01-04T18:42:37.808838
Hastapublica,,,,,https://www.silviabarros.com.br,,2026-01-04T18:42:37.809162
Hastapublica,,,,,https://www.lancenow.com.br,,2026-01-04T18:42:37.809442
Hastapublica,,,,,https://www.hastaceara.com.br,,2026-01-04T18:42:37.809741
Hastapublica,,,,,https://www.123maquinas.com.br,,2026-01-04T18:42:37.810014
Hastapublica,,,,,https://www.valland.com.br,,2026-01-04T18:42:37.810497
Hastapublica,,,,,https://www.fclance.com.br,,2026-01-04T18:42:37.810996
Hastapublica,,,,,https://www.hastapublica.com.br/grupos/10?TJ-SP,,2026-01-04T18:42:37.811297
Hastapublica,,,,,https://www.hastapublica.com.br/comprei,,2026-01-04T18:42:37.811687
Hastapublica,,,,,https://www.hastapublica.com.br/grupos/9?TJ-DF,,2026-01-04T18:42:37.812023
Hastapublica,,,,,https://www.hastapublica.com.br/grupos/26?SENAD-Ministério-da-Justiça,,2026-01-04T18:42:37.812326
Hastapublica,,,,,https://www.hastapublica.com.br/grupos/21?Empresarial,,2026-01-04T18:42:37.812559
Hastapublica,,,,,https://www.hastapublica.com.br/grupos/11?TJ-CE,,2026-01-04T18:42:37.812776
Hastapublica,,,,,https://www.hastapublica.com.br/grupos/28?FHE-POUPEX,,2026-01-04T18:42:37.812990
Hastapublica,,,,,https://www.hastapublica.com.br/grupos/18?Falências,,2026-01-04T18:42:37.813207
Hastapublica,,,,,https://www.hastapublica.com.br/grupos/33?TJ-RS,,2026-01-04T18:42:37.813425
Hastapublica,,,,,https://www.hastapublica.com.br/grupos/16?Mapfre,,2026-01-04T18:42:37.813635
Hastapublica,,,,,https://www.hastapublica.com.br/grupos/27?TRT-7,,2026-01-04T18:42:37.813854
Hastavip,,,,,https://www.leilaovip.com.br/evento/detalhes/050126af1sofisa,https://armazupleilaovipprd.blob.core.windows.net/uploads/416d1c71-8a18-49a6-9ee3-34a777da8786.webp,2026-01-04T18:42:47.712527
Hastavip,,,,,https://www.leilaovip.com.br/evento/detalhes/050126af1bra,https://armazupleilaovipprd.blob.core.windows.net/uploads/09ecfd42-5b2c-4a05-8d25-a35cfb36ab83.webp,2026-01-04T18:42:47.713136
Hastavip,,,,,https://www.leilaovip.com.br/evento/anuncio/casa-com-24856m-jardim-america-ii-02-14953,https://armazupleilaovipprd.blob.core.windows.net/uploads/ad598d01-fa53-4fd7-b829-47095947802b.webp,2026-01-04T18:42:47.713675
Hastavip,,,,,https://www.leilaovip.com.br/evento/anuncio/terreno-urbano-com-239017m-parque-da-hipica-02-15018,https://armazupleilaovipprd.blob.core.windows.net/uploads/3cad8fa0-f696-4dc2-b23b-7a971c7d8c39.webp,2026-01-04T18:42:47.714227
Hastavip,,,,,https://www.leilaovip.com.br/evento/detalhes/120126bra,https://armazupleilaovipprd.blob.core.windows.net/uploads/460d7358-e6b0-45ea-bd4b-6bbd1671a959.webp,2026-01-04T18:42:47.714967
Hastavip,,,,,https://www.leilaovip.com.br/evento/detalhes/310126mlv,https://armazupleilaovipprd.blob.core.windows.net/uploads/e29404b8-2458-48d6-a56d-fa0314c5fcaa.webp,2026-01-04T18:42:47.715344
Hastavip,,,,,https://www.leilaovip.com.br/evento/detalhes/050126af1sofisa,https://armazupleilaovipprd.blob.core.windows.net/uploads/106b9a56-5ccb-435d-b55b-d59a6f0ffb95.webp,2026-01-04T18:42:47.716415
Hastavip,,,,,https://www.leilaovip.com.br/evento/detalhes/050126af1bra,https://armazupleilaovipprd.blob.core.windows.net/uploads/bfd442b8-0693-4f73-805f-87f453e77842.webp,2026-01-04T18:42:47.717013
Hastavip,,,,,https://www.leilaovip.com.br/evento/anuncio/casa-com-24856m-jardim-america-ii-02-14953,https://armazupleilaovipprd.blob.core.windows.net/uploads/96d8a75e-70df-473c-850c-8f6768552aea.webp,2026-01-04T18:42:47.717593
Hastavip,,,,,https://www.leilaovip.com.br/evento/anuncio/terreno-urbano-com-239017m-parque-da-hipica-02-15018,https://armazupleilaovipprd.blob.core.windows.net/uploads/c335ef8c-aeac-493a-ae6d-164f8391f280.webp,2026-01-04T18:42:47.718089
Hastavip,,,,,https://www.leilaovip.com.br/evento/detalhes/120126bra,https://armazupleilaovipprd.blob.core.windows.net/uploads/18b0fcae-0d5f-4825-883e-21ed696e86ae.webp,2026-01-04T18:42:47.718579
Hastavip,,,,,https://www.leilaovip.com.br/evento/detalhes/310126mlv,https://armazupleilaovipprd.blob.core.windows.net/uploads/dda8a836-968e-4902-87f1-8bd253f553f6.webp,2026-01-04T18:42:47.719068
